fund_symbol,price_year,avg_open,avg_high,avg_low,avg_close,avg_adj_close,avg_transaction_price,avg_transaction_volume,avg_transaction_value,yearly_risk,yearly_loss
CSA,2016,34.98777777777778,35.03130952380952,34.92928571428572,34.98273809523809,32.72853174603175,32.72853174603175,3563.095238095238,112938.46428571429,0.010695265545108619,-0.06055363321799312
CSA,2017,42.73940239043825,42.82179282868526,42.60011952191235,42.689003984063746,40.38796812749003,40.38796812749003,3776.8924302788846,154249.72509960158,0.008066955257257818,-0.024747717443536654
CSA,2018,47.17470119521912,47.30820717131474,47.01083665338645,47.150278884462146,45.10860557768925,45.10860557768925,6076.494023904383,269220.6892430279,0.009660455052687754,-0.046536796536796654
CSA,2019,45.804880952380955,45.94464285714285,45.6868253968254,45.8175,44.47246031746032,44.47246031746032,4836.111111111111,211087.4365079365,0.009823833070652169,-0.03495273686524514
CSA,2020,42.621501976284584,42.81482213438735,42.38458498023715,42.58691699604743,41.96798418972332,41.96798418972332,3274.308300395257,130705.96837944664,0.026980564045630626,-0.11157484696716746
CSB,2015,33.38981651376147,33.41862385321101,33.34669724770642,33.37862385321101,27.62770642201835,27.62770642201835,4600.0,127498.44036697247,0.009815708509610823,-0.029991179064980722
CSB,2016,35.57853174603175,35.641190476190474,35.497063492063496,35.57003968253968,29.75702380952381,29.75702380952381,4367.460317460317,127601.6746031746,0.009433289545349971,-0.027641808234955212
CSB,2017,41.264302788844624,41.36155378486056,41.079003984063746,41.19043824701195,35.590996015936256,35.590996015936256,6246.613545816733,224103.74103585657,0.0068921167947008696,-0.019495126218445402
CSB,2018,44.923027888446214,45.07784860557769,44.69394422310757,44.87394422310757,40.08573705179283,40.08573705179283,6456.972111553785,254280.26693227093,0.009087568783575901,-0.0406937958639092
CSB,2019,44.27757936507937,44.444960317460314,44.06007936507936,44.255119047619054,40.80079365079365,40.80079365079365,10657.142857142857,430431.17063492065,0.00957772768472266,-0.029073856975381007
